cid,name,minvalue,maxvalue,avgvalue,year,chamber,origin,source,serialid
N00006750,Jane Harman (D-Calif),236280153,558544002,397412077,2007,H,Center for Responsive Politics,,1
N00007017,Darrell Issa (R-Calif),160615042,526300001,343457521,2007,H,Center for Responsive Politics,,2
N00000245,John Kerry (D-Mass),284157594,388292172,336224883,2007,S,Center for Responsive Politics,,3
N00004309,Herb Kohl (D-Wis),199443029,301647997,250545513,2007,S,Center for Responsive Politics,,4
N00002097,Mark Warner (D-Va),60591195,415094990,237843092,2007,S,Center for Responsive Politics,,5
N00027626,Vernon Buchanan (R-Fla),-42409542,407256976,182423717,2007,H,Center for Responsive Politics,,6
N00029127,Jared Polis (D-Colo),97374113,254377000,175875556,2007,H,Center for Responsive Politics,,7
N00002315,Robin Hayes (R-NC),74576347,272241999,173409173,2007,H,Center for Responsive Politics,,8
N99999962,Henry M. Paulson,88161025,148565003,118363014,2007,E,Center for Responsive Politics,,9
N00000308,Edward M. Kennedy (D-Mass),43821041,163298999,103560020,2007,S,Center for Responsive Politics,,10
N99999977,Samuel W. Bodman III,68717047,130705000,99711023,2007,E,Center for Responsive Politics,,11
N00001685,Jay Rockefeller (D-WVa),59897019,127533003,93715011,2007,S,Center for Responsive Politics,,12
N00000659,Frank R. Lautenberg (D-NJ),53326179,125692020,89509099,2007,S,Center for Responsive Politics,,13
N00007364,Dianne Feinstein (D-Calif),52349306,116073023,84211164,2007,S,Center for Responsive Politics,,14
N00026460,Michael McCaul (R-Texas),23931154,104215000,64073077,2007,H,Center for Responsive Politics,,15
N99999961,Carlos Gutierrez,22276025,104765000,63520512,2007,E,Center for Responsive Politics,,16
N00006237,Dick Cheney (R),20954025,99310000,60132012,2007,E,Center for Responsive Politics,,17
N00029441,James E. Risch (R-Idaho),19929058,92770996,56350027,2007,S,Center for Responsive Politics,,18
N00027441,Bob Corker (R-Tenn),11194043,98169998,54682020,2007,S,Center for Responsive Politics,,19
N00000078,Carolyn B. Maloney (D-NY),17009100,83585994,50297547,2007,H,Center for Responsive Politics,,20
N00029788,Cynthia Marie Lummis (R-Wyo),13038030,83795998,48417014,2007,H,Center for Responsive Politics,,21
N00007360,Nancy Pelosi (D-Calif),-23538894,119974989,48218047,2007,H,Center for Responsive Politics,,22
N00000684,Rodney Frelinghuysen (R-NJ),22414184,72286000,47350092,2007,H,Center for Responsive Politics,,23
N00007815,Gordon H. Smith (R-Ore),28358029,63895999,46127014,2007,S,Center for Responsive Politics,,24
N00028418,Alan Mark Grayson (D-Fla),29026043,61696000,45361021,2007,H,Center for Responsive Politics,,25
N00001024,Nita M. Lowey (D-NY),16929476,70503415,43716445,2007,H,Center for Responsive Politics,,26
N00006954,Gary Miller (R-Calif),14494042,65462000,39978021,2007,H,Center for Responsive Politics,,27
N00004426,Tom Petri (R-Wis),10631037,66891999,38761518,2007,H,Center for Responsive Politics,,28
N99999960,Michael Leavitt,12135061,55899998,34017529,2007,E,Center for Responsive Politics,,29
N00004645,Denny Rehberg (R-Mont),6896012,59814997,33355504,2007,H,Center for Responsive Politics,,30
N00000480,Olympia J. Snowe (R-Maine),15018074,51599001,33308537,2007,S,Center for Responsive Politics,,31
N00027694,Claire McCaskill (D-Mo),20419173,44437005,32428089,2007,S,Center for Responsive Politics,,32
N00026710,Kenny Marchant (R-Texas),10391624,53388584,31890104,2007,H,Center for Responsive Politics,,33
N00008071,Elizabeth Dole (R-NC),14624035,48218910,31421472,2007,S,Center for Responsive Politics,,34
N99999924,Ruth Bader Ginsburg,11665015,50580000,31122507,2007,J,Center for Responsive Politics,,35
N00000019,Hillary Clinton (D-NY),10409018,51232000,30820509,2007,S,Center for Responsive Politics,,36
N00006424,John McCain (R),22911154,37743009,30327081,2007,S,Center for Responsive Politics,,37
N00027565,John Campbell (R-Calif),11385080,45102000,28243540,2007,H,Center for Responsive Politics,,38
N00009888,Lamar Alexander (R-Tenn),11811688,40536648,26174168,2007,S,Center for Responsive Politics,,39
N00004291,F. James Sensenbrenner Jr. (R-Wis),19471684,28460630,23966157,2007,H,Center for Responsive Politics,,40
N00012672,Steve Pearce (R-NM),8417014,38030000,23223507,2007,H,Center for Responsive Politics,,41
N00029679,John Fleming (R-La),8094046,37837000,22965523,2007,H,Center for Responsive Politics,,42
N00027655,Heath Shuler (D-NC),3263026,41521996,22392511,2007,H,Center for Responsive Politics,,43
N00029139,Bill Foster (D-Ill),7371012,35890000,21630506,2007,H,Center for Responsive Politics,,44
N00029617,Kay R. Hagan (D-NC),4338506,37997983,21168244,2007,S,Center for Responsive Politics,,45
N00002492,John M. Spratt Jr. (D-SC),6965022,33702995,20334008,2007,H,Center for Responsive Politics,,46
N00009920,Richard C. Shelby (R-Ala),4377020,34880000,19628510,2007,S,Center for Responsive Politics,,47
N00030198,Christopher J. Lee (R-NY),11208255,27325000,19266627,2007,H,Center for Responsive Politics,,48
N00006932,David Dreier (R-Calif),7027054,29688000,18357527,2007,H,Center for Responsive Politics,,49
N99999920,David H. Souter,6115004,30330000,18222502,2007,J,Center for Responsive Politics,,50
N00026160,Tom Price (R-Ga),7072257,29270233,18171245,2007,H,Center for Responsive Politics,,51
N00004133,Fred Upton (R-Mich),7218123,25871000,16544561,2007,H,Center for Responsive Politics,,52
N00000615,Rosa L. DeLauro (D-Conn),5845032,27234999,16540015,2007,H,Center for Responsive Politics,,53
N00002593,Johnny Isakson (R-Ga),8342077,24284999,16313538,2007,S,Center for Responsive Politics,,54
N00004207,Tom Harkin (D-Iowa),10499111,21938002,16218556,2007,S,Center for Responsive Politics,,55
N00002599,John Linder (R-Ga),5465010,26649998,16057504,2007,H,Center for Responsive Politics,,56
N00029556,Harry Teague (D-NM),2258052,29221999,15740025,2007,H,Center for Responsive Politics,,57
N00029128,Betsy Markey (D-Colo),5180033,25904999,15542516,2007,H,Center for Responsive Politics,,58
N00006023,Lloyd Doggett (D-Texas),8134096,21584999,14859547,2007,H,Center for Responsive Politics,,59
N00029649,Jackie Speier (D-Calif),5770070,21388000,13579035,2007,H,Center for Responsive Politics,,60
N00027618,Steve Kagen (D-Wis),7213089,19771000,13492044,2007,H,Center for Responsive Politics,,61
N00009818,Shelley Berkley (D-Nev),7591279,19308238,13449758,2007,H,Center for Responsive Politics,,62
N00008072,George W. Bush (R),6364044,19360000,12862022,2007,E,Center for Responsive Politics,,63
N00002083,Jim Moran (D-Va),1930170,23375995,12653082,2007,H,Center for Responsive Politics,,64
N00006423,Trent Franks (R-Ariz),4100005,20250000,12175002,2007,H,Center for Responsive Politics,,65
N00003682,Rob Portman,6460065,17875000,12167532,2007,E,Center for Responsive Politics,,66
