cid,name,minvalue,maxvalue,avgvalue,year,chamber,origin,source,serialid
N00023864,Donald Trump (R),1041400345,1922787009,1482093677,2014,E,Center for Responsive Politics,,1
N00007017,Darrell Issa (R-Calif),229650030,643350000,436500015,2014,H,Center for Responsive Politics,,2
N00029127,Jared Polis (D-Colo),184536463,591191999,387864231,2014,H,Center for Responsive Politics,,3
N00002097,Mark Warner (D-Va),90848261,394931000,242889630,2014,S,Center for Responsive Politics,,4
N00033897,John K Delaney (D-Md),86498177,343306999,214902588,2014,H,Center for Responsive Politics,,5
N00026460,Michael McCaul (R-Texas),119239810,201442053,160340931,2014,H,Center for Responsive Politics,,6
N00035607,Dave Trott (R-Mich),54698157,172990995,113844576,2014,H,Center for Responsive Politics,,7
N00027626,Vernon Buchanan (R-Fla),-19340847,233164989,106912071,2014,H,Center for Responsive Politics,,8
N00007360,Nancy Pelosi (D-Calif),9761059,192784988,101273023,2014,H,Center for Responsive Politics,,9
N00007364,Dianne Feinstein (D-Calif),49183119,139222023,94202571,2014,S,Center for Responsive Politics,,10
N00031685,Richard Blumenthal (D-Conn),65384277,98106040,81745158,2014,S,Center for Responsive Politics,,11
N00031539,Diane Black (R-Tenn),1446174,154065011,77755592,2014,H,Center for Responsive Politics,,12
N00030693,Suzan DelBene (D-Wash),31019104,117585000,74302052,2014,H,Center for Responsive Politics,,13
N00033591,Scott Peters (D-Calif),39631083,106196010,72913546,2014,H,Center for Responsive Politics,,14
N00031348,Carly Fiorina (R),32192812,106622000,69407406,2014,E,Center for Responsive Politics,,15
N00001285,Chris Collins (R-NY),23867028,108032000,65949514,2014,H,Center for Responsive Politics,,16
N00028418,Alan Grayson (D-Fla),14858047,105321999,60090023,2014,H,Center for Responsive Politics,,17
N00031127,Jim Renacci (R-Ohio),31571597,85593000,58582298,2014,H,Center for Responsive Politics,,18
N00029441,James E Risch (R-Idaho),18587052,88212996,53400024,2014,S,Center for Responsive Politics,,19
N00036155,Thomas MacArthur (R-NJ),5995906,99810999,52903452,2014,H,Center for Responsive Politics,,20
